created_at,username,text
2021-10-14 08:27:29+00:00,_smiiii_,"You don't need to be Romeo,
Be my Jake please 💞
#b99 #Brooklyn99 https://t.co/niRweWNrBP"
2021-10-14 08:17:29+00:00,Jummanaa_,I love Boyle 🤣 #Brooklyn99
2021-10-14 07:40:04+00:00,digitalspy,"Brooklyn Nine-Nine cast have mini reunion following last season:

https://t.co/jkZz4I3IiK

#Brooklyn99 https://t.co/m5WhMliVQ1"
2021-10-14 07:12:44+00:00,emilyjbranch,I truly wondered how the return of #Brooklyn99 was gonna feel after …all of last year…and I didn’t think I wanted t… https://t.co/HLM62WbuHR
2021-10-14 07:00:13+00:00,CameraShotHH,"Quote of the day - @andysamberg 

#quoteoftheday #truth #workwithpeopleyoulove #enjoyyourcompany #havefunonthejob… https://t.co/6DlSomLBFh"
2021-10-14 06:13:06+00:00,ryudian,Watching #Brooklyn99 last ep got me like: https://t.co/ephdT75whG
2021-10-14 05:50:16+00:00,remihich,"I just paused  #Brooklyn99 because it sounds like a horror movie outside my apartment, still does so
If we die tonight...that's why"
2021-10-14 04:36:02+00:00,chadgrayson,And #Brooklyn99 goes out on top as one of my favorite shows of all time. I can't believe I slept on this for years… https://t.co/PW9I1TktDm
2021-10-14 04:27:00+00:00,TaylorHu,"Finally worked up the courage to watch the #Brooklyn99 finale.

I'm not crying you're crying you shutup."
2021-10-14 03:24:28+00:00,kingink559,"Best shows #Dexter #thewalkingdead #Brooklyn99  #top3  

#brooklyn99 season 8 is soooo good"
2021-10-14 03:18:07+00:00,AnakinCapaldi,Enfim assisti o S02 | E04: Halloween II de Brooklyn Nine-Nine! #Brooklyn99 https://t.co/DO27gPD0cn #tvtime
2021-10-14 03:05:30+00:00,AlbertanKelly,"I like to escape by watching TV. Re-watched all the Hostels (didn’t know it was Tarantino and Eli Roth)!!! 

Anyway… https://t.co/qWukK6qrs2"
2021-10-14 02:41:42+00:00,theWeepingGirl_,"“She makes me feel things.”
“SHE MAKES EVERYONE FEEL THINGS.”

#B99 #Brooklyn99 @taylorswift13"
2021-10-14 02:31:21+00:00,MumuLoverH,« Suicide squad » 😭😭 #Brooklyn99
2021-10-14 02:04:31+00:00,KariimeH,I've just watched S08 | E06 of Brooklyn Nine-Nine! #Brooklyn99  https://t.co/CVLXu5LmyZ #tvtime https://t.co/hEMf1EKqq3
2021-10-14 01:58:23+00:00,Pikymar,Acabo de ver el episodio S01 | E06 of Brooklyn Nine-Nine! #Brooklyn99  https://t.co/1MQfImsWzW #tvtime https://t.co/si4cjRKeHm
2021-10-14 01:57:37+00:00,lifeofbeccag,Holt and Kevin in the rain 😭😭😭😭 #Brooklyn99
2021-10-14 01:46:52+00:00,KixKira,Listo el S07 | E05 de Brooklyn Nine-Nine! #Brooklyn99. .  https://t.co/DNQdhXFHdN #tvtime https://t.co/LWvCnN9NHo
2021-10-14 01:35:25+00:00,Pikymar,Acabo de ver el episodio S01 | E05 of Brooklyn Nine-Nine! #Brooklyn99  https://t.co/uypxXjHPGX #tvtime https://t.co/tBt33lIjNU
2021-10-14 01:35:16+00:00,Polymath_Creed,I'm actually really happy I just found you guys #Brooklyn99 and all the seasons I can binge while I'm sick with… https://t.co/VsP9YFumFQ
2021-10-14 01:16:22+00:00,Pikymar,Acabo de ver el episodio S01 | E04 of Brooklyn Nine-Nine! #Brooklyn99  https://t.co/g3xJtopkZk #tvtime https://t.co/sFaaUn6xTj
2021-10-14 01:13:47+00:00,KixKira,Listo el S07 | E04 de Brooklyn Nine-Nine! #Brooklyn99. .  https://t.co/VgwWjdWWc2 #tvtime https://t.co/zAm0fnm4B2
2021-10-14 00:30:04+00:00,wayliraje,RT @amysprfct: “i look at her and i just know” #brooklyn99 https://t.co/TldP2NiRVP
2021-10-14 00:18:08+00:00,pullupsonic,RT @melissafumero: This is a great example of how amazing our #Brooklyn99 crew was- not only did they construct this hospital set in the mi…
2021-10-13 22:56:11+00:00,J0E_85,"Rewatching #Brooklyn99 from the start, best show ever, can't wait to see the latest series when shown in the UK

#BrooklynNineNine
#NineNine"
2021-10-13 22:33:30+00:00,DaMENACE37OCR,#Brooklyn99 is unwatchable. I’m done with it.
2021-10-13 21:04:30+00:00,nevisanthony,"Detective Jake Peralta once said : ""The doctor said all my bleeding was internal. That's where the blood's supposed to be"". 

#Brooklyn99"
2021-10-13 20:24:03+00:00,MciendsBarchie,"My sweet people! I miss them so much😭❤️
#Brooklyn99 https://t.co/ozxYpa3rsR"
2021-10-13 20:03:59+00:00,LuliVignolo,RT @badpostandy: Andy's first and last scene on #Brooklyn99 https://t.co/cLO6qyKa4s
2021-10-13 19:19:39+00:00,stephsmanrara,open for a surprise #Brooklyn99 https://t.co/BnHcy3dvu9
2021-10-13 18:06:55+00:00,manic_podcast,It’s heist time and I mean Halloween heist time! Listen to our latest podcast on Spotify! #BrooklynNineNine… https://t.co/8m01F05g4c
2021-10-13 17:51:08+00:00,_LightToMyDark,RT @peraltaspieshop: #ZoeysPlaylist x #Brooklyn99 cool cool cool cool cool 🕶 https://t.co/SwYklFtG0c
2021-10-13 17:49:46+00:00,afterbuzztv,"Who doesn't love a good sitcom?📺
 
It's almost #Halloween, which means it's time to binge all those sitcom special… https://t.co/oTHVLVAfWc"
2021-10-13 16:24:39+00:00,lvbnx_,no doubt no doubt #Brooklyn99 💛 https://t.co/B8e9nqR6c6 https://t.co/sfrcUojc1O
2021-10-13 15:27:41+00:00,ZAfangirl,"I'm rewatching #Brooklyn99 and can I just say... Andy Samberg is pretty hot. 

I LOVE Jake Peralta! https://t.co/syCk2Qfspl"
2021-10-13 14:47:13+00:00,TheLastAesir,"@sachikoko If I lived in NY !!

My cats would be mad for a sec, but they would love #meow too

LOOK IN THE EYES!!!… https://t.co/8QQFekhvqg"
2021-10-13 12:02:31+00:00,DoDmmss,"RT @EraIsArt: Mister Mouse protects brooklyn 
.
.
.
.
.
#eraisart 
#mistermouse #mouse  #artwork #posca #marker #markerart #colors #sketch…"
2021-10-13 11:50:45+00:00,Sarvesh379,"@cricketaakash Terry loves love.

#Brooklynninenine 
#Brooklyn99 
@terrycrews"
2021-10-13 11:30:05+00:00,lils_romanoff,Remember captain holts posters from Season 3 ep3 well they are still up in the background of Season 6 ep14… https://t.co/CZmtMCrXY0
2021-10-13 10:43:05+00:00,EraIsArt,"Mister Mouse protects brooklyn 
.
.
.
.
.
#eraisart 
#mistermouse #mouse  #artwork #posca #marker #markerart… https://t.co/cdTVcGIkXN"
2021-10-13 10:19:00+00:00,VavoDigital,"CS: The Dussehra post is approved by the brand, now you can schedule it.

Me: 

#AgencyLife #Brooklyn99 https://t.co/8QCriOgMI0"
2021-10-13 06:37:29+00:00,littycuntkitty,The way they walk all over terry &gt;&gt;&gt; #Brooklyn99
2021-10-13 06:32:59+00:00,rhymesandproses,"RT @rhymesandproses: Why are sitcom ships so freaking perfect and adorable😭
I could never move on from Mondler and now Jake and Amy😭❤️
They…"
2021-10-13 06:32:23+00:00,littycuntkitty,Lookin forward to rewatching #Brooklyn99 captain holt is everything
2021-10-13 03:39:01+00:00,dr_rsantosh,A daughter can be your bestie too… common likes for #srh #csk #ManCity #KDB #Donuts @thejordindian #Brooklyn99… https://t.co/wgMrXZcj4B
2021-10-13 19:23:03+00:00,PkMikeyT,"New episode! The wonderful @KatiePMcGrady came on #PopCultureCatechism to talk about #BrooklynNineNine 
https://t.co/48rsDMPQSZ"
2021-10-13 16:49:39+00:00,nostalgicgirlw,"Weekly Recap#1
#BUFFYTHEVAMPIRESLAYER #THEVAMPIREDIARIES #COMMUNITY #TEENWOLF #GOTHAM #FRINGE #LUCIFER… https://t.co/dV2d3sfuXP"
2021-10-13 07:22:26+00:00,CptSean24,Holt and emojis 😂😂 #BrooklynNineNine #CaptainHolt https://t.co/y7eitUf6P7
2021-10-13 02:45:11+00:00,AWG_1,"RT @AACTA: Calling all TV buffs! #SeriesMania begins tomorrow 🎉 The four-day, online event will give you insights from creatives behind sho…"
2021-10-13 02:32:40+00:00,AACTA,"Calling all TV buffs! #SeriesMania begins tomorrow 🎉 The four-day, online event will give you insights from creativ… https://t.co/KOkpFsPTi3"
2021-10-13 02:07:33+00:00,mareeffimero,"#Brooklyn99 • #BrooklynNineNine • #Peraltiago

－ No matter what happens, you are not allowed to fall in love with m… https://t.co/jlLOhU7VCL"
2021-10-13 01:20:08+00:00,RBblonde,"AND SCENE! 👏👏 I did it! I finally finished

Noice

 #brooklynninenine #Brooklyn99 https://t.co/W8wthIzLsW"
2021-10-12 21:37:16+00:00,godofmarkets,😂 @KyrieIrving dumbass. As a @warriors fan I love that this idiot is not playing! Please don’t get vaccinated so we… https://t.co/5SWYjzFvXF
2021-10-12 12:41:12+00:00,FromPhilippine,"RT @Thanos_Pagkidis: Weigh

#Persona3Portable #P3P #BrooklynNineNine https://t.co/jQjmRBKbVc"
2021-10-12 05:10:12+00:00,_nmr92,"Holt and Kevin split up 💔 I don't like this season so far
#b99 #BrooklynNineNine #Brooklyn99"
2021-10-12 04:40:43+00:00,_nmr92,"What, Rosa quit the force 😱😱😱😱😱
#b99 #BrooklynNineNine #Brooklyn99"
2021-10-12 01:46:51+00:00,duc_cris,Brooklyn Nine Nine - I have just completed this room! Check it out:  https://t.co/eRh6Cl37PB #tryhackme #security… https://t.co/CENyKCcRtb
2021-10-12 00:37:56+00:00,awkblu,gina linetti phoebe buffay Friends b99 Brooklyn nine-nine season 1 2 3 4 5 6 7 8 #FriendsReunion #Brooklyn99… https://t.co/yTlldCa7jW
2021-10-11 22:09:54+00:00,vinsmoke_kun,@Rajmeetsingh14 Melanie Hawkins!? Is that a #Brooklynninenine reference lol
2021-10-11 21:52:26+00:00,mwalmuandrew,Brooklyn Nine Nine - I have just completed this room! Check it out:  https://t.co/X8eneTUCPV #tryhackme #security… https://t.co/b5BSqZ2z6X
2021-10-11 16:43:41+00:00,LaFaarah,I miss #BrooklynNineNine  🥲🥲🥲
2021-10-11 12:12:48+00:00,TheMeltingPat,Doing something different for my #Halloween episode this year: Which #BrooklynNineNine heist is your favorite?… https://t.co/T3GwsQcvJT
2021-10-11 10:35:05+00:00,allnerdkind,My favorite Jake Peralta bit is him purchasing the failing @therock crypto and the @TMNT NFT of Michelangelo eating… https://t.co/iKMtxo1OTO
2021-10-11 08:26:58+00:00,fjakeperalta,These days mood! #Brooklyn99 #BrooklynNineNine #jakeperalta https://t.co/pahUXNIoRa
2021-10-11 06:57:00+00:00,khkarthik,"#TVSeries #Week2 #BrooklynNineNine is a fun TV series which can be witty, beautiful, short episode series. Had to s… https://t.co/Oqbc8luiTg"
2021-10-11 06:45:03+00:00,UrjaBamnotey,"RT @ItzKrrish_: 148. #BrooklynNineNine 

STRESSBUSTER 💯

Fun fully loaded. One of the best comedy show! https://t.co/kSflMhF8h8"
